spike_threshold_pct,bb_std_multiplier,sl_pct,tp_pct,position_size_pct,max_hold_hours,sharpe,return_pct,max_dd_pct,win_rate,num_trades,profit_factor,avg_win_pct,avg_loss_pct
0.5,1.5,0.003,0.025,0.02,12,0.1755,0.0447,0.5047,12.94,487,1.0175,2.0551,-0.3
0.5,1.5,0.003,0.025,0.015,12,0.1755,0.0337,0.3787,12.94,487,1.0176,2.0551,-0.3
0.5,1.0,0.004,0.025,0.02,48,0.1396,0.0466,0.5072,14.07,590,1.0115,2.4721,-0.4
0.5,1.0,0.004,0.025,0.015,48,0.1396,0.0352,0.3806,14.07,590,1.0116,2.4721,-0.4
0.5,1.0,0.004,0.025,0.01,48,0.1396,0.0236,0.2539,14.07,590,1.0116,2.4721,-0.4
0.5,1.0,0.004,0.025,0.005,48,0.1396,0.0119,0.127,14.07,590,1.0117,2.4721,-0.4
1.5,3.0,0.004,0.012,0.015,12,0.1322,0.0058,0.0842,27.03,37,1.0358,1.1187,-0.4
1.5,3.0,0.004,0.012,0.02,12,0.1322,0.0077,0.1122,27.03,37,1.0357,1.1187,-0.4
1.5,3.0,0.004,0.012,0.01,12,0.1322,0.0039,0.0561,27.03,37,1.0358,1.1187,-0.4
1.5,3.0,0.004,0.012,0.005,12,0.1322,0.0019,0.0281,27.03,37,1.0358,1.1187,-0.4
0.5,1.0,0.004,0.025,0.01,12,0.1203,0.0196,0.2634,16.89,610,1.0097,1.9811,-0.3986
0.5,1.0,0.004,0.025,0.005,12,0.1203,0.0098,0.1317,16.89,610,1.0097,1.9811,-0.3986
0.5,1.0,0.004,0.025,0.02,12,0.1203,0.0386,0.5262,16.89,610,1.0095,1.9811,-0.3986
0.5,1.0,0.004,0.025,0.015,12,0.1203,0.0291,0.3948,16.89,610,1.0096,1.9811,-0.3986
0.75,1.0,0.004,0.025,0.02,48,0.1034,0.0292,0.4494,13.92,424,1.01,2.5,-0.4
0.75,1.0,0.004,0.025,0.005,48,0.1034,0.0074,0.1125,13.92,424,1.0102,2.5,-0.4
0.75,1.0,0.004,0.025,0.01,48,0.1034,0.0148,0.2248,13.92,424,1.0101,2.5,-0.4
0.75,1.0,0.004,0.025,0.015,48,0.1034,0.022,0.3372,13.92,424,1.01,2.5,-0.4
0.5,1.5,0.004,0.02,0.005,12,0.0981,0.0065,0.0762,19.05,483,1.0083,1.7063,-0.3981
0.5,1.5,0.004,0.02,0.015,12,0.0981,0.0192,0.2285,19.05,483,1.0082,1.7063,-0.3981
0.5,1.5,0.004,0.02,0.01,12,0.0981,0.0129,0.1524,19.05,483,1.0083,1.7063,-0.3981
0.5,1.5,0.004,0.02,0.02,12,0.0981,0.0254,0.3046,19.05,483,1.0082,1.7063,-0.3981
1.5,3.0,0.005,0.025,0.015,12,0.0821,0.0058,0.1441,18.92,37,1.0256,2.1982,-0.5
1.5,3.0,0.005,0.025,0.02,12,0.0821,0.0077,0.1921,18.92,37,1.0256,2.1982,-0.5
1.5,3.0,0.005,0.025,0.01,12,0.0821,0.0039,0.0961,18.92,37,1.0257,2.1982,-0.5
1.5,3.0,0.005,0.025,0.005,12,0.0821,0.0019,0.0481,18.92,37,1.0258,2.1982,-0.5
0.75,1.0,0.005,0.025,0.01,24,0.0693,0.0109,0.2849,17.14,420,1.0062,2.4321,-0.5
